IncidentName,CalendarYear,POOJurisdictionalUnit,Fire Type Protection Type,Fire Type,Fire Cause,Size Class,IncidentSize,FireDiscoveryDateTime
COUGAR,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/1/1976
DEUCE,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/30/1976
DIVIDE,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,859,7/11/1976
ELK,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/17/1976
FAITHFUL,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/14/1976
HOLE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/5/1976
JACKS,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,C,26,8/30/1976
LANGFORD,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/27/1976
LOVELY,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/2/1976
MCBRIDE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/16/1976
PAINTBRUSH,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/30/1976
PELICAN,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,4,7/16/1976
PELIGAN,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/29/1976
PHANTOM,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/30/1976
PITCHSTONE,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/4/1976
PLATEAU,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/16/1976
RIDDLE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/10/1976
SOLFATARA,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/29/1976
STRAIGHT,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,20,7/11/1976
TERRACE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/13/1976
TIMOTHY,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1976
TONGUE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/12/1976
BEACH,1977,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/16/1977
BUFFALO,1977,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/15/1977
CASCADE,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/9/1977
CHITTENDEN,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/20/1977
COTTONWOOD,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,4,8/20/1977
COWEN,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/9/1977
DELACY,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/5/1977
DOME,1977,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/13/1977
GEODE,1977,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,1,8/4/1977
GREBE,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/26/1977
LAVA,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/22/1977
LEWIS,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/12/1977
MADISON,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/4/1977
MARIPOSA,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/13/1977
OTTER,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/12/1977
PAINTER'S,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/7/1977
PITCHSTONE,1977,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/3/1977
ROAD,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/13/1977
ROLLING,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/11/1977
SHOSHONE,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,12,8/1/1977
SURPRISE,1977,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/8/1977
SUSPENSION,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/21/1977
TERRACE,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/18/1977
THUMB,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/12/1977
TROUT,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,40,7/12/1977
WASHBURN,1977,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/26/1977
WEST,1977,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/20/1977
AGATE,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/26/1978
CARNELIAN,1978,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/16/1978
CHIP,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/26/1978
COTTONWOOD,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/23/1978
